Name,Control,State,Degree_Status,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate_4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
CUNY City College,1,NY,1,4,9,2,1,30959,64,24,57,51,64,56,98,14,12910
CUNY Hunter College,1,NY,1,5,9,2,1,24938,46,31,58,50,63,60,93,15,20413
CUNY Lehman College,1,NY,1,4,9,2,1,31042,58,28,53,47,57,55,93,17,11943
CUNY Queens College,1,NY,1,4,8,2,1,29453,61,28,55,43,66,54,87,16,16790
Curry College,2,MA,1,2,8,2,1,63505,80,48,55,50,59,42,100,12,2403
Curtis Institute of Music,2,PA,1,1,7,2,1,27945,5,37,89,89,90,75,100,2,164
D'Youville College,2,NY,1,2,9,2,1,43808,92,37,59,54,60,65,77,7,2463
Daemen University,2,NY,1,2,9,2,1,47080,78,43,57,52,60,45,100,12,2468
Dakota State University,1,SD,1,2,9,2,1,22855,86,28,45,42,50,38,92,18,2206
Dakota Wesleyan University,2,SD,1,1,8,2,1,41280,76,44,49,47,51,52,100,12,784
Dallas Baptist University,2,TX,1,2,9,2,1,46584,94,46,61,57,63,53,96,14,3270
Dallas Christian College,2,TX,1,1,5,2,1,34356,17,9,19,18,21,12,100,12,178
Dartmouth College,2,NH,1,3,9,2,1,81501,6,86,94,91,96,90,60,7,6441
Davenport University,2,MI,1,3,8,2,1,35888,98,36,47,41,57,41,100,15,4287
Davidson College,2,NC,1,2,5,2,0,73200,18,86,90,87,93,90,70,10,2029
Davis & Elkins College,2,WV,1,1,5,2,1,44258,78,38,49,37,60,36,99,11,733
Davis College,2,NY,1,1,5,2,1,26550,100,57,57,53,63,43,100,11,81
Dean College,2,MA,1,2,5,2,1,62936,74,40,43,36,49,37,93,16,1160
Defiance College,2,OH,1,1,7,2,1,49430,62,41,50,44,59,45,97,11,573
Delaware State University,1,DE,1,3,9,1,1,25876,59,33,47,41,50,45,96,16,4510
Delaware Valley University,2,PA,1,2,9,2,1,59030,93,46,54,45,61,43,100,13,2063
Delta State University,1,MS,1,2,9,2,1,21774,100,24,44,42,46,35,98,10,2529
Denison University,2,OH,1,2,5,2,0,73900,28,77,81,79,83,78,96,9,2305
DePaul University,2,IL,1,5,9,2,1,60771,69,58,70,68,71,63,99,17,19539
DePauw University,2,IN,1,2,5,2,0,70394,65,79,83,81,85,79,99,9,1805
DeSales University,2,PA,1,2,9,2,1,59474,78,63,69,68,70,59,100,13,3359
Dickinson College,2,PA,1,2,7,2,0,77237,48,79,82,79,85,85,92,9,2065
Dickinson State University,1,ND,1,2,7,2,1,20322,99,18,36,32,39,35,98,13,1128
DigiPen Institute of Technology,3,WA,1,2,7,2,1,50072,46,44,57,54,65,39,84,11,1175
Dillard University,2,LA,1,2,5,1,1,35310,55,40,52,39,56,50,99,13,1199
Doane University,2,NE,1,2,9,2,1,53910,77,54,59,57,61,49,100,10,1820
Dominican College of Blauvelt,2,NY,1,2,9,2,1,50030,76,27,44,32,51,40,100,12,1783
Dominican University,2,IL,1,2,9,2,1,49047,81,40,52,43,57,51,100,10,2775
