Trip Seconds,Trip Miles,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Location,Dropoff Location
840,4.9,15.5,0,0,0,15.5,Cash,Taxi Affiliation Services,16,14
342,2.1,8,0,0,0,8,Cash,City Service,24,22
1500,20.6,49.75,13.8,0,5,68.55,Credit Card,Taxi Affiliation Services,76,34
1260,16.3,40.25,9.15,0,5,54.4,Credit Card,Star North Management LLC,76,24
899,10.89,28,0,0,0,28,Prcard,Flash Cab,28,77
3480,26.7,67.5,0,0,4,71.5,Cash,Taxi Affiliation Services,76,DOC
2142,15.84,41.25,0,0,26,67.25,Cash,City Service,POC,DOC
3540,25.9,68.5,15.6,0,9,93.1,Credit Card,Taxi Affiliation Services,76,64
180,0.6,4.75,0,0,2,6.75,Cash,Taxi Affiliation Services,6,6
1800,24.7,58.75,0,0,5,64.25,Credit Card,Medallion Leasin,8,62
960,0,29,0,0,4,33,Cash,U Taxicab,76,16
1080,8.7,23.25,5,0,17.5,45.75,Credit Card,Taxi Affiliation Services,76,DOC
420,1.5,7,2,0,1,10,Credit Card,Taxi Affiliation Services,7,8
1725,12,31.75,0,0,0,31.75,Prcard,Flash Cab,25,66
426,1.9,13.14,2,0,0,17.09,Mobile,Sun Taxi,6,7
23,0,29,4.42,0,0,33.92,Credit Card,Globe Taxi,33,33
1440,16.6,41.75,0,0,5.5,47.25,Cash,Taxicab Insurance Agency,76,8
0,0,3.25,0,0,0,3.25,Cash,Taxi Affiliation Services,10,10
1080,13.9,35,0,0,4,39,Unknown,312 Medallion Management Corp,76,76
840,7.5,20.5,0,0,0,20.5,Unknown,Taxi Affiliation Services,8,39
3335,33.4,79.25,0,0,46,125.25,Cash,Chicago Taxicab,POC,DOC
456,5.05,14.75,0,0,1,15.75,Cash,Sun Taxi,8,21
2520,0.7,34,0,0,0,34,Cash,Taxi Affiliation Services,23,1
780,3.8,13,0,0,0,13,Cash,Taxi Affiliation Services,14,20
24404,0.66,139.25,0,0,0,139.25,Cash,Sun Taxi,76,76
60,0,4.25,0,0,0,4.25,Cash,Taxi Affiliation Services,12,13
1080,13.3,33.5,7.6,0,4,45.6,Credit Card,Medallion Leasin,56,22
533,6.65,18.25,0,0,0,18.25,Prcard,Flash Cab,8,77
161,0.4,4.25,2,0,1,7.75,Credit Card,Flash Cab,8,8
480,0,7.5,2,0,0,9.5,Credit Card,Taxi Affiliation Services,6,3
180,0.6,4.75,0,0,1,5.75,Cash,Taxi Affiliation Services,8,8
1140,0.5,24.75,0,0,0,24.75,Cash,Taxi Affiliation Services,8,30
876,2.32,10.5,0,0,1.5,12,Cash,Flash Cab,8,8
900,8.1,22,7.5,0,15,44.5,Credit Card,Star North Management LLC,76,DOC
540,0.1,9.25,0,0,0,9.25,Cash,Taxi Affiliation Services,8,33
0,0.1,3.5,0,0,4,7.5,Cash,Taxi Affiliation Services,8,8
720,3,11.25,2.45,0,0.5,14.2,Credit Card,Blue Ribbon Taxi Association Inc.,POC,DOC
2355,1.55,18,0,0,0,18,Cash,Flash Cab,77,3
720,3.3,12,0,0,0,12,Cash,Taxi Affiliation Services,8,33
171,0,9.36,2.14,0,0,11.5,Mobile,Flash Cab,24,23
1980,17,42,15,0,7.5,64.5,Credit Card,Taxi Affiliation Services,76,DOC
1080,6.6,19.5,4,0,0,24,Credit Card,Medallion Leasin,6,28
886,4.62,14.5,0,0,0,14.5,Cash,Sun Taxi,5,24
1501,18.2,45.25,5,0,6.5,57.25,Credit Card,Chicago Independents,76,8
475,1.48,7.25,0,0,0,7.25,Cash,Sun Taxi,8,8
300,1.5,7,2,0,4,13,Credit Card,Taxi Affiliation Services,56,DOC
