Versus,Exit_Velocity,Launch_Angle,Pitch_Speed,Distance,Pitcher_Age,Pitch_Type,Batter_Age
MIA,107.3,24,95.6,435,25,Four Seam,31
MIL,109.6,27,94.3,435,30,Sinker,30
SF,107.8,24,91.5,435,33,Sinker,28
CIN,112,23,94.9,435,29,Four Seam,30
TEX,107.2,25,80.2,435,30,Slider,27
NYM,109.5,24,95.7,435,37,Four Seam,29
LAD,104.9,25,92.8,435,29,Four Seam,26
OAK,108.3,32,89.4,435,28,Four Seam,25
CIN,110.6,22,98.8,434,23,Four Seam,31
LAA,111.1,34,81.3,434,35,Slider,30
PIT,108.5,22,88.7,434,29,Cutter,25
CLE,109,24,90.9,434,27,Four Seam,31
NYY,110.6,28,89.6,434,32,Slider,26
DET,104.6,28,90.5,434,29,Four Seam,36
LAD,108,26,93.6,434,31,Four Seam,42
BAL,110.7,26,92,434,27,Four Seam,26
AZ,102.3,27,85.9,434,34,Cutter,26
BOS,107.9,24,93.7,434,32,Four Seam,24
BOS,108.4,25,88.2,434,28,Changeup,33
PHI,110.1,25,90.7,434,30,Changeup,26
KC,104.7,25,92.9,434,25,Four Seam,31
CIN,105.7,32,97,434,23,Four Seam,32
CHC,104.5,26,88.7,434,31,Cutter,29
OAK,110.5,31,95.1,434,26,Sinker,25
LAA,105.5,27,91.4,434,26,Four Seam,23
KC,107.6,28,96.5,434,25,Four Seam,26
MIL,113.9,23,86.8,434,33,Sinker,24
OAK,105.2,29,89.7,434,28,Sinker,25
SD,111.1,29,94.2,434,30,Four Seam,29
COL,109.6,33,86.7,434,27,Slider,29
ATL,105.8,25,93.8,434,32,Four Seam,31
SF,106.9,27,85.3,433,27,Changeup,30
LAD,104.3,30,86.1,433,24,Slider,35
CIN,106.2,26,85.6,433,30,Changeup,30
COL,103.9,34,89.7,433,29,Four Seam,32
MIL,108.1,28,95.2,433,24,Sinker,25
MIN,108.3,36,90.5,433,27,Four Seam,29
AZ,105.6,27,83.8,433,29,Slider,30
NYY,107,29,93,433,31,Four Seam,28
SD,103.3,31,92.3,433,32,Four Seam,36
MIL,110.5,24,86.7,433,33,Four Seam,26
COL,104.8,31,91.5,433,26,Four Seam,29
HOU,107.8,24,93.7,433,29,Sinker,24
ATL,104.4,27,94.4,433,32,Four Seam,30
COL,102.4,32,89.2,433,29,Four Seam,28
CHC,108,28,86.8,433,33,Sinker,33
SEA,109.5,27,88.6,433,28,Slider,21
PIT,106.9,27,85.1,433,30,Changeup,26
MIN,112.3,25,92.2,433,27,Four Seam,33
OAK,109.9,30,92.5,433,28,Four Seam,30
NYY,110.4,24,95.8,433,31,Four Seam,26
CLE,108.7,35,86.5,433,27,Split-Finger,29
LAD,111.6,33,96.8,433,28,Sinker,28
SEA,109,22,87.6,433,24,Cutter,29
COL,105.6,32,89.7,433,29,Sinker,29
SD,101.1,31,98.4,433,31,Four Seam,31
TEX,110.4,20,91.9,433,33,Four Seam,24
MIA,110.4,19,94.3,433,30,Sinker,28
PIT,106.2,26,85.9,433,23,Slider,33
CIN,104.7,32,82.8,433,29,Slider,31
ATL,107.1,24,95.9,433,39,Four Seam,30
BOS,110.8,22,86.4,433,35,Slider,27
LAD,103,28,88.7,432,33,Four Seam,32
KC,108.4,30,95.8,432,28,Four Seam,22
SF,105.3,30,86.3,432,32,Changeup,28
MIL,105.8,26,90.8,432,30,Sinker,29
CHC,107,25,93.1,432,33,Sinker,28
ATL,111.3,24,96.1,432,27,Four Seam,26
LAA,110,32,93,432,31,Four Seam,30
COL,110.1,23,94.8,432,27,Four Seam,30
TEX,107.7,26,83.9,432,31,Changeup,32
KC,110.4,33,91.5,432,27,Sinker,28
TEX,105.1,27,79.3,432,26,Slider,28
WSH,106.6,29,93.9,432,33,Sinker,26
HOU,111.7,22,86.7,432,27,Changeup,30
CLE,106.6,29,93.8,432,35,Cutter,35
WSH,106.3,30,94.5,432,26,Four Seam,32
CIN,113.5,31,87.8,432,27,Four Seam,27
HOU,105.7,26,74.9,432,29,Curveball,32
LAA,108.3,31,95.2,432,22,Four Seam,29
CWS,111,25,85.1,432,25,Changeup,29
BAL,105.7,29,90.9,432,30,Cutter,31
WSH,108.6,24,94.1,432,25,Four Seam,27
BOS,108.9,25,97.3,432,35,Four Seam,28
NYM,107.7,29,92.9,432,38,Four Seam,28
CLE,113.9,21,83.2,432,27,Cutter,33
HOU,104.7,31,86.7,432,27,Changeup,28
SEA,105.9,25,79.9,432,25,Knuckle Curve,25
CLE,108.4,34,93.3,432,25,Four Seam,31
LAD,109.2,28,83.3,432,27,Slider,26
PIT,111.1,31,87.6,432,29,Cutter,25
PIT,107.6,24,86.1,432,29,Slider,22
CHC,105.9,33,90.8,432,29,Four Seam,32
WSH,106.3,26,87.2,432,35,Four Seam,26
MIA,110.2,25,86.9,432,28,Slider,28
STL,105.7,30,82.9,432,26,Slider,31
BOS,107.9,35,90.4,432,32,Cutter,27
BAL,110.4,32,81.9,432,28,Curveball,23
WSH,108.9,24,82.1,432,33,Slider,33
TEX,110.9,22,97,432,26,Four Seam,29
AZ,105.8,29,85.7,432,33,Cutter,29
KC,111.5,27,93.2,432,27,Sinker,23
NYY,110.4,35,86.5,432,31,Slider,31
NYY,110.4,23,94.3,431,31,Four Seam,33
MIL,106.5,28,87,431,29,Changeup,27
BOS,106.9,28,93.5,431,31,Four Seam,31
CHC,106.7,26,90.2,431,27,Four Seam,24
COL,109.6,21,97,431,31,Four Seam,31
NYY,105.8,31,85.6,431,28,Slider,32
COL,105.6,26,83.2,431,29,Slider,27
TB,107,25,79.4,431,27,Curveball,29
SEA,103,25,77.1,431,31,Knuckle Curve,28
KC,109.6,35,95.4,431,30,Four Seam,30
ATL,110.4,30,85.8,431,27,Curveball,30
TOR,106.9,28,94,431,29,Four Seam,31
COL,102.2,29,94.6,431,27,Sinker,27
MIL,110.6,25,86.4,431,29,Changeup,24
WSH,109.6,31,89.1,431,35,Four Seam,29
BAL,109.3,25,84.2,431,27,Slider,22
OAK,108.7,27,84.7,431,26,Changeup,25
CHC,115.5,18,90.7,431,29,Four Seam,30
CIN,107.2,32,86.1,431,26,Changeup,27
WSH,107.2,25,92.7,431,33,Sinker,34
NYY,106.5,24,86.7,431,27,Slider,29
ATL,109.8,22,93.4,431,35,Four Seam,34
BOS,105.8,27,95.8,431,26,Four Seam,28
BOS,111.5,26,79.7,431,35,Slider,31
ATL,108.6,28,85.3,431,39,Cutter,31
DET,112.4,29,92.5,431,25,Four Seam,25
CWS,111.1,28,97.2,431,32,Sinker,30
KC,106.7,34,91.2,431,27,Changeup,25
SEA,109.8,21,93.9,431,27,Four Seam,32
SEA,107.6,22,91.9,431,28,Four Seam,29
BOS,111.5,24,90.7,431,28,Four Seam,33
KC,109.3,22,94.3,431,28,Sinker,31
STL,107.6,28,89.8,431,34,Slider,26
AZ,106.2,32,91.6,431,33,Four Seam,31
MIN,107.7,31,93,431,25,Four Seam,30
SEA,110.7,24,96.9,431,25,Four Seam,27
MIA,105.5,35,96.4,430,25,Four Seam,29
AZ,114.8,29,86.4,430,31,Slider,29
PIT,111.6,24,95.3,430,28,Sinker,30
LAA,108,31,91.5,430,24,Four Seam,36
SF,102.6,29,81.2,430,27,Changeup,28
COL,105.1,27,93.9,430,30,Sinker,31
SD,105.3,32,94.3,430,36,Four Seam,26
NYM,110.1,24,98.7,430,34,Four Seam,28
WSH,108.4,28,89.2,430,36,Sinker,31
AZ,107.4,27,87.2,430,34,Sinker,26
OAK,108,27,88.5,430,28,Four Seam,26
PIT,110.8,23,83.2,430,26,Slider,25
CLE,108,23,93.1,430,25,Four Seam,27
KC,105.6,29,93.4,430,25,Four Seam,34
MIN,105.9,24,86.5,430,28,Slider,31
COL,101.9,29,80.3,430,30,Knuckle Curve,32
TEX,106.4,26,93.3,430,25,Four Seam,24
CHC,107.6,25,93,430,31,Sinker,28
MIA,109.7,21,89.8,430,27,Four Seam,23
LAD,113.8,26,95.3,430,28,Four Seam,29
TOR,113,20,95,430,31,Four Seam,29
MIL,107.6,28,91.1,430,31,Slider,32
TB,108.3,28,93.6,430,25,Four Seam,29
TB,106.6,32,95,430,27,Four Seam,26
CLE,111.9,25,93.1,430,25,Four Seam,30
OAK,103.5,27,93.5,430,26,Four Seam,32
COL,100.3,35,87.8,430,27,Slider,22
DET,106,33,93,430,24,Four Seam,33
BOS,113.8,31,93,429,32,Four Seam,30
BOS,105.8,25,92.2,429,29,Sinker,27
TEX,106.5,26,95,429,26,Four Seam,25
CHC,111.8,37,87.9,429,33,Cutter,25
CLE,104,34,91.3,429,27,Four Seam,25
CHC,105.7,32,94.2,429,27,Four Seam,42
CIN,105.5,27,86.7,429,36,Cutter,23
AZ,105.4,30,90.9,429,33,Four Seam,42
OAK,111.3,26,90.7,429,28,Sinker,30
AZ,112.7,32,90.2,429,29,Sinker,22
WSH,110.7,19,90.8,429,36,Sinker,24
COL,101.8,38,80.4,429,34,Curveball,27
MIN,109.8,28,83.3,429,32,Knuckle Curve,31
AZ,111.7,25,92.6,429,34,Four Seam,28
SF,103,30,84,429,31,Slider,24
OAK,110,33,90.5,429,28,Four Seam,25
CWS,111.4,23,86.3,429,34,Cutter,31
KC,114,20,80.3,429,25,Changeup,33
PIT,108.3,29,85.5,429,29,Changeup,31
HOU,110.7,25,91.5,429,29,Sinker,31
WSH,106.3,32,94.2,429,25,Four Seam,28
PIT,107,25,95.1,429,29,Four Seam,29
AZ,104.4,27,91.4,429,37,Cutter,30
TEX,107.3,34,95.9,429,29,Four Seam,28
MIL,106.7,27,88.4,429,28,Changeup,36
BOS,108.2,27,89,429,31,Cutter,26
LAA,107.6,28,85.7,429,35,Slider,25
TB,108,33,81.6,429,36,Curveball,31
LAA,106.2,27,94.1,429,27,Four Seam,36
MIL,109.1,21,85.1,429,29,Curveball,34
CLE,107.1,24,87.8,429,25,Slider,21
CHC,106.7,24,78.1,429,33,Knuckle Curve,28
PHI,110.6,21,99.3,429,28,Sinker,23
WSH,106.2,28,95.4,429,25,Four Seam,25
BAL,107.2,28,95.2,429,28,Four Seam,30
AZ,105.1,28,79.4,429,31,Curveball,36
HOU,107.5,25,94.2,429,25,Four Seam,26
SEA,104.9,28,92.6,429,29,Four Seam,25
LAD,103,27,92.4,429,31,Four Seam,28
BOS,107.3,24,95.1,429,24,Sinker,37
WSH,106.4,29,89.5,429,29,Cutter,32
BAL,104.8,28,83.3,429,27,Slider,31
NYM,112.4,31,94.1,429,30,Four Seam,24
MIL,108.7,24,89.7,429,27,Cutter,35
