Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
Ohtani,BAL,111.1,28,95.9,400,Sinker
Benintendi,BAL,101.6,30,95.9,384,Sinker
Bichette,NYM,109,33,95.9,414,4
O'Neill,CIN,104.6,30,95.9,419,Sinker
Marte,SF,107.6,31,95.9,427,4
Judge,NYM,108.5,36,95.9,424,4
Cronenworth,NYM,103,28,95.9,386,Sinker
Lowe,OAK,110.4,38,95.9,407,4
Harper,ATL,112.8,21,95.9,410,Sinker
Altuve,SF,102.2,30,95.9,398,4
Maton,TOR,98.5,29,95.9,403,4
Smith,NYM,101.6,30,95.9,394,Sinker
Muncy,SF,108,29,95.9,424,Sinker
Cron,SF,112.7,22,95.9,452,4
McCutchen,TOR,106.8,24,95.9,395,4
Sandoval,MIA,99.7,31,95.9,380,Sinker
Zimmerman,ARI,107.2,22,95.9,379,4
Jeffers,CLE,108.5,25,95.9,426,4
Castellanos,MIL,107.7,28,95.9,435,Sinker
PiÃ±a,STL,103.9,32,95.9,405,4
Hays,OAK,108.3,20,95.9,396,4
Soler,DET,108.1,23,95.9,425,4
Aguilar,PHI,101.8,28,95.9,400,4
Solak,CLE,105.3,21,95.8,379,4
Riley,NYM,106.2,27,95.8,418,4
Cruz,CWS,110.9,25,95.8,453,4
Devers,TB,113.9,19,95.8,390,4
Dalbec,NYY,115.6,31,95.8,453,4
VÃ¡zquez,TB,102.9,39,95.8,383,4
Robert,KC,112.3,30,95.8,452,4
Sandoval,WSH,104.8,27,95.8,413,4
Wade Jr.,LAD,107,32,95.8,413,4
Castro,CWS,99.2,26,95.8,373,4
Schwarber,MIA,115.4,32,95.8,454,4
HernÃ¡ndez,ATL,104.4,27,95.8,404,4
Taylor,COL,103.7,46,95.8,373,4
Belt,MIL,103.8,33,95.8,405,4
Betts,MIL,103.5,31,95.8,406,4
Verdugo,CWS,104.5,24,95.8,417,4
Evans,CHC,101.9,25,95.8,415,4
Correa,LAA,108.6,19,95.8,384,4
Conforto,CIN,107.7,25,95.8,419,4
Freeman,PHI,105.2,29,95.8,409,4
Rosario,BAL,104.6,34,95.8,423,4
Brown,HOU,106.1,29,95.8,424,4
Bradley,CWS,109.3,23,95.8,407,4
Trevino,OAK,101.6,28,95.8,420,4
Belt,LAD,106.9,26,95.7,420,4
Galvis,MIA,99.9,38,95.7,381,4
Soler,TEX,113.4,25,95.7,435,4
Meadows,NYY,99.1,30,95.7,373,Sinker
White,TOR,101.4,26,95.7,403,4
Chang,DET,105.2,23,95.7,407,4
SÃ¡nchez,WSH,106.8,24,95.7,401,Sinker
Zunino,BOS,106.6,35,95.7,405,4
Machado,LAD,105.9,35,95.7,391,4
SuÃ¡rez,CWS,106.9,31,95.7,416,4
Merrifield,BOS,93.7,33,95.7,343,4
Meadows,BAL,105.4,43,95.7,364,Sinker
Seager,BAL,111,21,95.7,383,4
Hoskins,COL,110.1,25,95.7,435,4
Semien,OAK,105.1,26,95.7,386,4
Abreu,NYY,108.4,28,95.7,450,4
Escobar,CHC,108.6,21,95.7,432,4
Judge,CWS,114.3,17,95.7,421,4
Smith,WSH,100.1,32,95.7,400,4
Betts,ATL,99.1,34,95.7,381,Sinker
Torrens,OAK,102.4,25,95.7,366,4
Smith,SD,106.1,27,95.7,407,Sinker
Bell,ATL,108.6,30,95.7,407,4
Severino,TOR,107.6,19,95.7,407,Sinker
Heim,MIN,105.8,28,95.7,408,4
Cron,MIA,103.5,35,95.7,412,Sinker
Tsutsugo,ARI,104.3,23,95.7,373,4
La Stella,CHC,106.8,34,95.7,409,4
SanÃ³,NYY,98.2,29,95.7,383,4
Gurriel Jr.,BAL,99.1,31,95.7,371,4
Benintendi,DET,98.9,35,95.7,361,4
Buxton,MIL,105.3,25,95.7,411,Cutter
Anderson,CIN,100.9,27,95.7,392,4
Renfroe,TB,109.5,35,95.7,420,4
Pederson,STL,102.6,26,95.7,392,Sinker
McCann,NYY,95.5,29,95.6,366,4
Reynolds,KC,107.5,29,95.6,427,4
Smith,SF,106.2,25,95.6,443,4
Wisdom,ARI,105.3,40,95.6,405,Sinker
Bellinger,SD,104.2,25,95.6,372,4
McCutchen,MIA,107.7,28,95.6,405,4
Kim,LAD,98.8,24,95.6,379,4
Bregman,OAK,101.3,27,95.6,396,Sinker
Villar,WSH,105.6,22,95.6,417,4
DÃ­az,KC,106,21,95.6,396,4
Kemp,NYY,100.6,25,95.6,348,4
Turner,MIL,104,34,95.6,396,Cutter
Heyward,MIA,102.6,24,95.6,428,Sinker
Rizzo,TOR,107.2,42,95.6,368,4
IbÃ¡Ã±ez,HOU,103.8,33,95.6,411,4
Vogelbach,CIN,98.5,33,95.6,383,4
Haniger,OAK,100.1,32,95.6,375,4
Walker,SD,109.4,27,95.6,428,4
Muncy,SF,103.7,35,95.6,404,4
Turner,TB,103,26,95.6,400,4
Dickerson,BAL,108.4,26,95.6,401,4
Aguilar,BAL,104,30,95.6,401,Sinker
PiÃ±a,SD,105.6,29,95.6,426,4
GarcÃ­a,SD,108.6,31,95.6,456,4
Rodgers,CIN,107,22,95.6,404,4
Mondesi,BOS,112.6,31,95.6,464,4
Harper,MIL,105.5,28,95.6,426,4
Pujols,TEX,108.3,27,95.6,446,4
SuÃ¡rez,MIL,108.2,30,95.6,418,4
VÃ¡zquez,NYY,100.8,36,95.6,382,4
Betts,COL,104.7,37,95.5,394,4
Carlson,MIL,97.7,31,95.5,377,4
DÃ­az,WSH,109,19,95.5,359,Sinker
Cruz,CWS,110.3,20,95.5,416,4
Solak,BAL,98,30,95.5,348,4
Wong,COL,103.5,23,95.5,389,4
Donaldson,NYY,110.3,31,95.5,438,4
Odor,ATL,102.9,35,95.5,413,4
India,MIL,106.9,22,95.5,397,4
Torrens,TEX,101.5,26,95.5,374,4
Brantley,LAD,100.3,29,95.5,385,4
Bradley Jr.,PHI,101.1,28,95.5,411,4
Altuve,LAA,102.5,38,95.5,381,4
Chirinos,PHI,106.1,27,95.5,444,4
Yastrzemski,PIT,100.9,30,95.5,406,4
NÃºÃ±ez,CLE,98.3,32,95.5,396,4
Meadows,NYY,104,25,95.5,416,Sinker
Buxton,KC,109.7,29,95.5,444,Sinker
Devers,WSH,111.2,22,95.5,432,4
Engel,CLE,109.7,18,95.5,388,4
Olson,DET,110.6,32,95.5,438,4
Garneau,CIN,104.6,30,95.5,394,4
Kelly,CIN,107,23,95.5,378,4
Garver,CLE,108.8,23,95.5,407,4
Gurriel,OAK,102.1,33,95.5,386,4
Realmuto,CHC,99.2,30,95.5,368,4
Martin,LAA,99.3,35,95.5,399,4
Moore,TOR,101.3,25,95.5,405,Sinker
Bauers,KC,104.7,30,95.5,424,4
Frazier,BAL,101.2,31,95.4,389,4
Turner,SD,104,23,95.4,395,4
Soto,SD,106.1,21,95.4,382,4
Brown,SEA,101.4,36,95.4,367,Sinker
Abreu,KC,105.8,32,95.4,421,4
Santander,TOR,108.6,31,95.4,431,4
Longoria,ARI,108.2,25,95.4,444,4
Zimmerman,ATL,101.3,29,95.4,391,Sinker
Harper,LAD,108.8,21,95.4,421,4
Votto,PHI,108,27,95.4,435,4
Chapman,LAA,107.8,29,95.4,425,4
Marte,COL,104.9,32,95.4,419,4
Albies,MIA,104.2,27,95.4,395,4
DÃ­az,LAD,108,20,95.4,372,Sinker
Ramirez,CWS,96.7,29,95.4,341,4
SuÃ¡rez,ATL,106.4,36,95.4,415,4
Belt,COL,101.2,31,95.4,425,4
Crawford,CIN,103,35,95.4,377,4
Happ,CIN,101.7,33,95.4,367,4
McCutchen,CIN,108.8,22,95.4,403,4
Duvall,SF,108.6,32,95.4,413,4
Alvarez,ATL,104.8,31,95.4,418,4
Turner,SF,105.8,24,95.4,419,4
Mancini,BOS,111.9,22,95.4,427,4
Springer,BOS,109.9,34,95.4,442,4
Escobar,COL,103.2,29,95.4,453,4
Arenado,COL,109.2,20,95.4,404,4
JimÃ©nez,CHC,105.9,24,95.4,399,4
Springer,BAL,108,34,95.4,412,4
Carlson,LAD,94.3,38,95.4,365,4
Williams,WSH,109.2,20,95.4,411,Sinker
Smith,SD,103.6,35,95.4,403,4
Cron,LAD,111.3,28,95.4,465,4
Beaty,WSH,102.5,26,95.4,401,Sinker
Donaldson,BOS,107.1,33,95.4,421,4
Albies,COL,101,33,95.4,428,4
Carlson,CIN,106.4,29,95.4,355,4
Pham,CIN,103.3,33,95.3,390,4
SanÃ³,DET,114.8,30,95.3,473,4
Alford,CWS,109.7,25,95.3,430,Sinker
Donaldson,CWS,111.2,19,95.3,383,4
