Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
"Perez, Salvador",CWS,102,38,96.4,359,4
"Lowe, Brandon",TOR,111.2,19,96.4,375,4
"Espinal, Santiago",KC,102.6,25,96.3,394,Sinker
"Bradley, Bobby",BAL,103.7,29,96.3,402,Sinker
"Cruz, Nelson",DET,105.8,29,96.3,390,Sinker
"Allen, Austin",TB,103.3,25,96.3,373,4
"Muncy, Max",COL,106.6,29,96.3,419,4
"Buxton, Byron",DET,109.8,31,96.3,427,Sinker
"Celestino, Gilberto",CWS,103.8,24,96.3,412,4
"AndÃºjar, Miguel",TB,102.2,31,96.3,365,4
"Simmons, Andrelton",OAK,98.6,30,96.3,379,4
"HernÃ¡ndez, Enrique",NYY,106.9,22,96.3,379,4
"Turner, Trea",ARI,102.6,25,96.3,398,4
"UrÃ­as, Luis",CHC,104.1,25,96.3,411,4
"Schoop, Jonathan",STL,103.5,31,96.3,372,4
"Muncy, Max",MIA,107.4,37,96.3,424,4
"Verdugo, Alex",DET,96.7,29,96.3,352,4
"Altuve, Jose",NYY,103.4,28,96.3,404,4
"Dozier, Hunter",CLE,109.4,29,96.3,410,4
"Dalbec, Bobby",TB,114.1,20,96.3,397,4
"Grandal, Yasmani",CHC,105,26,96.3,416,4
"Seager, Kyle",DET,108.9,36,96.3,426,4
"Mazeika, Patrick",TB,102.2,39,96.2,364,4
"Zunino, Mike",BAL,110.3,24,96.2,434,4
"Adames, Willy",CHC,107.9,37,96.2,411,4
"Smith, Dominic",SD,104.1,25,96.2,403,4
"Ruiz, Keibert",CIN,98.4,32,96.2,376,4
"Alonso, Pete",MIA,108.9,22,96.2,399,Sinker
"Grandal, Yasmani",NYY,99,31,96.2,383,4
"Perez, Michael",LAD,101.3,29,96.2,412,Sinker
"Merrifield, Whit",TEX,98.1,34,96.2,381,4
"Crawford, Brandon",COL,99.4,36,96.2,376,4
"Bichette, Bo",NYY,105.8,25,96.2,412,4
"Swanson, Dansby",NYM,101.7,35,96.2,379,Sinker
"Schwarber, Kyle",NYM,112.6,31,96.2,434,4
"Phillips, Brett",OAK,105.4,29,96.2,417,Sinker
"Raleigh, Cal",OAK,113.1,25,96.2,444,Sinker
"Cronenworth, Jake",COL,102.7,42,96.2,403,4
"Albies, Ozzie",STL,108.3,37,96.2,428,4
"Brantley, Michael",CLE,105.7,35,96.2,402,Sinker
"Straw, Myles",BAL,100.9,23,96.2,367,4
"Rojas, Josh",MIL,102.7,32,96.2,419,Sinker
"Chisholm Jr., Jazz",CIN,112.1,24,96.2,405,4
"Moncada, YoÃ¡n",DET,101,39,96.2,365,Sinker
"Ramos, Wilson",CIN,101.6,23,96.2,366,4
"Fuentes, Joshua",LAD,97.5,33,96.2,389,Sinker
"Machado, Manny",COL,109,20,96.2,413,4
"Muncy, Max",COL,104.3,33,96.2,431,4
"Molina, Yadier",WSH,107.5,22,96.1,430,Sinker
"Tatis Jr., Fernando",NYM,104.3,37,96.1,401,4
"Haniger, Mitch",LAD,103,26,96.1,402,4
"BÃ¡ez, Javier",LAD,105.2,23,96.1,401,4
"Polanco, Jorge",NYY,104.1,36,96.1,410,4
"Bryant, Kris",NYM,105.2,33,96.1,434,4
"Sheets, Gavin",MIN,99.4,31,96.1,390,4
"Rizzo, Anthony",STL,110.1,22,96.1,393,4
"AndÃºjar, Miguel",TB,102,25,96.1,364,4
"Guerrero Jr., Vladimir",BOS,111.3,24,96.1,443,4
"Rizzo, Anthony",NYM,104.4,30,96.1,418,4
"HernÃ¡ndez, Teoscar",OAK,105.4,24,96.1,396,4
"Reynolds, Bryan",LAD,107.7,23,96.1,418,Sinker
"Meadows, Austin",NYY,95.3,25,96.1,368,Sinker
"Arenado, Nolan",MIL,102.7,40,96.1,380,4
"Bogaerts, Xander",PHI,98.8,29,96.1,362,Sinker
"Jeffers, Ryan",DET,103,25,96.1,383,4
"Muncy, Max",ARI,107.7,26,96.1,403,4
"Tucker, Kyle",LAA,100.9,32,96.1,373,4
"Devers, Rafael",NYY,112.4,24,96.1,429,4
"Young, Andrew",LAD,108.8,35,96.1,437,4
"Guillorme, Luis",CIN,95.2,29,96.1,391,4
"Adames, Willy",CIN,105.1,24,96.1,376,4
"Garver, Mitch",CLE,109.1,32,96.1,413,4
"Sheets, Gavin",PIT,101.6,39,96.1,370,4
"Haase, Eric",CIN,107.3,24,96.1,408,4
"Casali, Curt",ARI,102.8,26,96.1,415,4
"Kirilloff, Alex",KC,104.5,32,96,394,4
"Swanson, Dansby",NYM,104.8,35,96,381,4
"Peraza, JosÃ©",SD,100.6,30,96,403,4
"Gonzalez, Marwin",CWS,104.2,28,96,410,4
"Polanco, Jorge",CWS,106,24,96,378,4
"Farmer, Kyle",STL,103.5,34,96,405,Sinker
"HernÃ¡ndez, Teoscar",TB,106.7,31,96,414,4
"Gurriel Jr., Lourdes",MIA,106.1,31,96,400,Sinker
"Guerrero Jr., Vladimir",TEX,107.9,28,96,416,4
"Suzuki, Kurt",DET,101.8,33,96,366,4
"Adames, Willy",COL,106.8,23,96,390,Sinker
"Tatis Jr., Fernando",WSH,113.3,24,96,433,4
"Tauchman, Mike",TEX,107.7,19,96,355,4
"Donaldson, Josh",OAK,104,23,96,381,4
"Baddoo, Akil",OAK,100.4,33,96,353,4
"Gamel, Ben",ATL,105.5,27,96,421,4
"Collins, Zack",KC,106.5,27,96,430,4
"Seager, Kyle",BOS,104.3,31,96,421,4
"Grossman, Robbie",KC,103.3,36,96,395,4
"Higashioka, Kyle",NYM,103,36,95.9,411,4
"Ohtani, Shohei",BAL,111.1,28,95.9,400,Sinker
"Benintendi, Andrew",BAL,101.6,30,95.9,384,Sinker
"Bichette, Bo",NYM,109,33,95.9,414,4
"O'Neill, Tyler",CIN,104.6,30,95.9,419,Sinker
"Marte, Starling",SF,107.6,31,95.9,427,4
"Judge, Aaron",NYM,108.5,36,95.9,424,4
"Cronenworth, Jake",NYM,103,28,95.9,386,Sinker
"Lowe, Brandon",OAK,110.4,38,95.9,407,4
"Harper, Bryce",ATL,112.8,21,95.9,410,Sinker
"Altuve, Jose",SF,102.2,30,95.9,398,4
"Maton, Nick",TOR,98.5,29,95.9,403,4
"Smith, Will",NYM,101.6,30,95.9,394,Sinker
"Muncy, Max",SF,108,29,95.9,424,Sinker
"Cron, C.J.",SF,112.7,22,95.9,452,4
"McCutchen, Andrew",TOR,106.8,24,95.9,395,4
"Sandoval, Pablo",MIA,99.7,31,95.9,380,Sinker
"Zimmerman, Ryan",ARI,107.2,22,95.9,379,4
"Jeffers, Ryan",CLE,108.5,25,95.9,426,4
"Castellanos, Nick",MIL,107.7,28,95.9,435,Sinker
"PiÃ±a, Manny",STL,103.9,32,95.9,405,4
"Hays, Austin",OAK,108.3,20,95.9,396,4
"Soler, Jorge",DET,108.1,23,95.9,425,4
"Aguilar, JesÃºs",PHI,101.8,28,95.9,400,4
"Solak, Nick",CLE,105.3,21,95.8,379,4
"Riley, Austin",NYM,106.2,27,95.8,418,4
"Cruz, Nelson",CWS,110.9,25,95.8,453,4
"Devers, Rafael",TB,113.9,19,95.8,390,4
