Name,Control,State,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
CUNY City College,Public,NY,4,9,No,Yes,30959,64,24,57,51,64,56,98,14,12910
CUNY Hunter College,Public,NY,5,9,No,Yes,24938,46,31,58,50,63,60,93,15,20413
CUNY Lehman College,Public,NY,4,9,No,Yes,31042,58,28,53,47,57,55,93,17,11943
CUNY Queens College,Public,NY,4,8,No,Yes,29453,61,28,55,43,66,54,87,16,16790
Curry College,Private,MA,2,8,No,Yes,63505,80,48,55,50,59,42,100,12,2403
Curtis Institute of Music,Private,PA,1,7,No,Yes,27945,5,37,89,89,90,75,100,2,164
D'Youville College,Private,NY,2,9,No,Yes,43808,92,37,59,54,60,65,77,7,2463
Daemen University,Private,NY,2,9,No,Yes,47080,78,43,57,52,60,45,100,12,2468
Dakota State University,Public,SD,2,9,No,Yes,22855,86,28,45,42,50,38,92,18,2206
Dakota Wesleyan University,Private,SD,1,8,No,Yes,41280,76,44,49,47,51,52,100,12,784
Dallas Baptist University,Private,TX,2,9,No,Yes,46584,94,46,61,57,63,53,96,14,3270
Dallas Christian College,Private,TX,1,5,No,Yes,34356,17,9,19,18,21,12,100,12,178
Dartmouth College,Private,NH,3,9,No,Yes,81501,6,86,94,91,96,90,60,7,6441
Davenport University,Private,MI,3,8,No,Yes,35888,98,36,47,41,57,41,100,15,4287
Davidson College,Private,NC,2,5,No,No,73200,18,86,90,87,93,90,70,10,2029
Davis & Elkins College,Private,WV,1,5,No,Yes,44258,78,38,49,37,60,36,99,11,733
Davis College,Private,NY,1,5,No,Yes,26550,100,57,57,53,63,43,100,11,81
Dean College,Private,MA,2,5,No,Yes,62936,74,40,43,36,49,37,93,16,1160
Defiance College,Private,OH,1,7,No,Yes,49430,62,41,50,44,59,45,97,11,573
Delaware State University,Public,DE,3,9,Yes,Yes,25876,59,33,47,41,50,45,96,16,4510
Delaware Valley University,Private,PA,2,9,No,Yes,59030,93,46,54,45,61,43,100,13,2063
Delta State University,Public,MS,2,9,No,Yes,21774,100,24,44,42,46,35,98,10,2529
Denison University,Private,OH,2,5,No,No,73900,28,77,81,79,83,78,96,9,2305
DePaul University,Private,IL,5,9,No,Yes,60771,69,58,70,68,71,63,99,17,19539
DePauw University,Private,IN,2,5,No,No,70394,65,79,83,81,85,79,99,9,1805
DeSales University,Private,PA,2,9,No,Yes,59474,78,63,69,68,70,59,100,13,3359
Dickinson College,Private,PA,2,7,No,No,77237,48,79,82,79,85,85,92,9,2065
Dickinson State University,Public,ND,2,7,No,Yes,20322,99,18,36,32,39,35,98,13,1128
Dillard University,Private,LA,2,5,Yes,Yes,35310,55,40,52,39,56,50,99,13,1199
Doane University,Private,NE,2,9,No,Yes,53910,77,54,59,57,61,49,100,10,1820
